"","V1","V2"
"759","1553314_a_at","KIF19"
"760","1553315_at","SLFNL1"
"761","1553316_at","GPR82"
"762","1553317_s_at","GPR82"
"763","1553318_at","RIBC1"
"764","1553319_at","OXGR1"
"765","1553320_s_at","CDC14C"
"766","1553321_a_at","SULT1C4"
"767","1553322_s_at","TEAD1"
"768","1553323_a_at","CATSPER2"
"769","1553325_at","POU5F2"
"770","1553326_at","RXFP2"
"771","1553327_a_at","BEND7"
"772","1553328_a_at","SLC18A2"
"773","1553329_at","SSMEM1"
"774","1553330_at","SSMEM1"
"775","1553333_at","MAB21L3"
"776","1553335_x_at","LOC285696"
"777","1553336_a_at","MIER3"
"778","1553338_at","SDE2"
"779","1553340_s_at","SLC35G3 /// SLC35G4 /// SLC35G5"
"780","1553341_at","UROC1"
"781","1553344_at","PCDH15"
"782","1553346_a_at","TNRC6A"
"783","1553347_s_at","GALNT8 /// KCNA6"
"784","1553348_a_at","NFX1"
"785","1553349_at","ARID2"
"786","1553350_at","AMER3"
"787","1553351_at","OTUD7A"
"788","1553352_x_at","ERVW-1"
"789","1553354_a_at","1553354_a_at"
"790","1553355_at","1553355_at"
"791","1553356_at","1553356_at"
"792","1553357_at","FGF13 /// LINC00889"
"793","1553359_at","FBXL18"
"794","1553361_x_at","FBXL18"
"795","1553362_at","DNAH6"
"796","1553363_at","LINC01600"
"797","1553364_at","PNPLA1"
"798","1553365_at","DEPDC4"
"799","1553366_s_at","ANKRD23 /// ANKRD39"
"800","1553367_a_at","COX6B2"
"801","1553369_at","FAM129C"
"802","1553371_at","EPHA10"
"803","1553372_at","1553372_at"
